АВС/ DEF;От;До;Емкость;Оператор;Регион
301;2100000;2109999;10000;ОАО "АСВТ";г. Улан - Удэ|Республика Бурятия
301;2110000;2129999;20000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2150000;2169999;20000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2180000;2189999;10000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2191000;2199999;9000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2200000;2201999;2000;АО "Компания ТрансТелеКом";г. Улан-Удэ|Республика Бурятия
301;2202000;2202099;100;ООО "Мобилон Телекоммуникации";г. Улан-Удэ|Республика Бурятия
301;2202200;2202299;100;ООО "Мобилон Телекоммуникации";г. Улан-Удэ|Республика Бурятия
301;2204000;2204499;500;АО "ЭР-Телеком Холдинг";г. Улан-Удэ|Республика Бурятия
301;2204500;2205499;1000;ООО "Фрегат";г. Улан - Удэ|Республика Бурятия
301;2205500;2206499;1000;ПАО "Вымпел-Коммуникации";г. Улан-Удэ|Республика Бурятия
301;2206500;2209499;3000;ОАО "МТТ";г. Улан-Удэ|Республика Бурятия
301;2209500;2209513;14;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2209700;2209999;300;ООО "Интернод";г. Улан - Удэ|Республика Бурятия
301;2210000;2233999;24000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2235000;2235999;1000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2237000;2239399;2400;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2239900;2239999;100;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2240000;2249999;10000;ООО "Т2 Мобайл";г. Улан-Удэ|Республика Бурятия
301;2250000;2281999;32000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2282000;2284999;3000;ОАО "РЖД";г. Улан - Удэ|Республика Бурятия
301;2285000;2285899;900;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2286000;2287999;2000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2288100;2288199;100;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2288200;2288399;200;ПАО "Вымпел-Коммуникации";г. Улан-Удэ|Республика Бурятия
301;2288500;2288799;300;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2288800;2288879;80;ЗАО "Гамма Телеком";г. Улан - Удэ|Республика Бурятия
301;2288880;2288889;10;ООО "ТАКСТЕЛЕКОМ";г. Улан-Удэ|Республика Бурятия
301;2288890;2288899;10;ЗАО "Гамма Телеком";г. Улан - Удэ|Республика Бурятия
301;2289000;2289099;100;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2289400;2289599;200;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2290000;2292999;3000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2293000;2294999;2000;ОАО "МУС Энергетики";г. Улан - Удэ|Республика Бурятия
301;2295000;2299199;4200;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2299300;2299399;100;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2299500;2299599;100;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2299900;2299999;100;ЗАО "Гамма Телеком";г. Улан - Удэ|Республика Бурятия
301;2300000;2329999;30000;ПАО "Мобильные ТелеСистемы";г. Улан-Удэ|Республика Бурятия
301;2330000;2349599;19600;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2350000;2369999;20000;ПАО "Мобильные ТелеСистемы";г. Улан-Удэ|Республика Бурятия
301;2370000;2379999;10000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2380000;2389999;10000;ПАО "Мобильные ТелеСистемы";г. Улан-Удэ|Республика Бурятия
301;2390000;2398299;8300;ПАО "Вымпел-Коммуникации";г. Улан-Удэ|Республика Бурятия
301;2399990;2399999;10;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2400000;2409999;10000;ООО "Т2 Мобайл";г. Улан-Удэ|Республика Бурятия
301;2410000;2438199;28200;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2439000;2469999;31000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2480000;2480099;100;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2480100;2480799;700;ПАО "Вымпел-Коммуникации";г. Улан-Удэ|Республика Бурятия
301;2480800;2480999;200;АО "ЭР-Телеком Холдинг";г. Улан-Удэ|Республика Бурятия
301;2481000;2485999;5000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2486000;2487999;2000;ПАО "Вымпел-Коммуникации";г. Улан-Удэ|Республика Бурятия
301;2488800;2488899;100;ЗАО "Гамма Телеком";г. Улан - Удэ|Республика Бурятия
301;2489000;2489999;1000;ПАО "Вымпел-Коммуникации";г. Улан-Удэ|Республика Бурятия
301;2491000;2494999;4000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2497000;2499999;3000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2500000;2519999;20000;ПАО "Вымпел-Коммуникации";г. Улан-Удэ|Республика Бурятия
301;2550000;2559999;10000;ПАО "Ростелеком";г. Улан-Удэ|Республика Бурятия
301;2560000;2589999;30000;ПАО "МегаФон";г. Улан-Удэ|Республика Бурятия
301;2590000;2596999;7000;ПАО "Вымпел-Коммуникации";г. Улан-Удэ|Республика Бурятия
301;2599500;2599999;500;ООО "МСН Телеком";г. Улан-Удэ|Республика Бурятия
301;2600000;2799999;200000;ООО "Т2 Мобайл";г. Улан-Удэ|Республика Бурятия
301;3020000;3027999;8000;ПАО "Ростелеком";г. Северобайкальск|Республика Бурятия
301;3029000;3029000;1;ПАО "Ростелеком";г. Северобайкальск|Республика Бурятия
