АВС/ DEF;От;До;Емкость;Оператор;Регион
900;0000000;0099999;100000;ООО "Т2 Мобайл";Краснодарский край
900;0100000;0199999;100000;ООО "Т2 Мобайл";Тверская обл.
900;0200000;0299999;100000;ООО "Т2 Мобайл";Челябинская обл.
900;0300000;0499999;200000;ООО "ЕКАТЕРИНБУРГ-2000";Свердловская обл.
900;0500000;0599999;100000;ООО "Т2 Мобайл";Кемеровская обл.
900;0600000;0999999;400000;ООО "Т2 Мобайл";Челябинская обл.
900;1000000;1099999;100000;ООО "Т2 Мобайл";Кемеровская обл.
900;1100000;1199999;100000;ООО "Т2 Мобайл";Тверская обл.
900;1200000;1399999;200000;ООО "Т2 Мобайл";Ростовская обл.
900;1400000;1899999;500000;ООО "Т2 Мобайл";Ставропольский край
900;1900000;1909999;10000;ООО "Т2 Мобайл";Республика Адыгея
900;1910000;1919999;10000;ООО "Т2 Мобайл";Кабардино-Балкарская Республика
900;1920000;1929999;10000;ООО "Т2 Мобайл";Карачаево-Черкесская Республика
900;1930000;1939999;10000;ООО "Т2 Мобайл";Республика Северная Осетия - Алания
900;1940000;1949999;10000;ООО "Т2 Мобайл";Чеченская Республика
900;1950000;1959999;10000;ООО "Т2 Мобайл";Краснодарский край
900;1960000;1969999;10000;ООО "Т2 Мобайл";Республика Ингушетия
900;1970000;2169999;200000;ООО "ЕКАТЕРИНБУРГ-2000";Свердловская обл.
900;2170000;2187999;18000;ООО "Т2 Мобайл";Чеченская Республика
900;2190000;2289999;100000;ООО "Т2 Мобайл";Смоленская обл.
900;2290000;2989999;700000;ООО "Т2 Мобайл";Краснодарский край
900;2990000;3099999;110000;ООО "Т2 Мобайл";Воронежская обл.
900;3100000;3149999;50000;ООО "Т2 Мобайл";Саратовская обл.
900;3150000;3199999;50000;ООО "Т2 Мобайл";Пензенская обл.
900;3200000;3299999;100000;ООО "Т2 Мобайл";Республика Татарстан
900;3300000;3349999;50000;ООО "Т2 Мобайл";Чувашская Республика
900;3350000;3359999;10000;ПАО "Вымпел-Коммуникации";Чукотский АО
900;3360000;3449999;90000;ПАО "Вымпел-Коммуникации";Хабаровский край
900;3450000;3549999;100000;ООО "Т2 Мобайл";Калининградская обл.
900;3550000;3749999;200000;ООО "Т2 Мобайл";Брянская обл.
900;3750000;3849999;100000;ООО "ЕКАТЕРИНБУРГ-2000";Курганская обл.
900;3850000;3949999;100000;ООО "ЕКАТЕРИНБУРГ-2000";Ханты - Мансийский - Югра АО
900;3950000;4049999;100000;ООО "ЕКАТЕРИНБУРГ-2000";Ямало-Ненецкий АО
900;4050000;4149999;100000;ООО "Т2 Мобайл";Магаданская обл.
900;4150000;4249999;100000;ООО "Т2 Мобайл";Еврейская автономная обл.
900;4250000;4349999;100000;ООО "Т2 Мобайл";Сахалинская обл.
900;4350000;4449999;100000;ООО "Т2 Мобайл";Камчатский край
900;4450000;4459999;10000;ООО "Т2 Мобайл";Чукотский АО
900;4460000;4549999;90000;ООО "Т2 Мобайл";Ульяновская обл.
900;4550000;4649999;100000;ОАО "Теле2-Санкт-Петербург";Республика Карелия
900;4650000;4650999;1000;ООО "Газпром телеком";г. Москва и Московская область
900;4655000;4664999;10000;ООО "Т2 Мобайл";Ульяновская обл.
900;4665000;4714999;50000;ООО "Т2 Мобайл";Пензенская обл.
900;4715000;4734999;20000;ООО "Т2 Мобайл";Тверская обл.
900;4735000;4834999;100000;ООО "Т2 Мобайл";Владимирская обл.
900;4835000;4884999;50000;ООО "Т2 Мобайл";Орловская обл.
900;4885000;4894999;10000;ООО "Т2 Мобайл";Сахалинская обл.
900;4900000;4999999;100000;ООО "Т2 Мобайл";Тамбовская обл.
900;5000000;5099999;100000;ОАО "Теле2-Санкт-Петербург";Вологодская обл.
900;5100000;5199999;100000;ООО "Т2 Мобайл";Тамбовская обл.
900;5200000;5299999;100000;ООО "Т2 Мобайл";Кировская обл.
900;5300000;5549999;250000;ОАО "Теле2-Санкт-Петербург";Вологодская обл.
900;5550000;5555549;5550;ООО "СИМ ТЕЛЕКОМ";г. Москва и Московская область
900;5555550;5555550;1;ООО "СИМ ТЕЛЕКОМ";г. Москва и Московская область
900;5555551;5559999;4449;ООО "СИМ ТЕЛЕКОМ";г. Москва и Московская область
900;5560000;5609999;50000;ОАО "Теле2-Санкт-Петербург";Вологодская обл.
900;5610000;5709999;100000;ООО "Т2 Мобайл";Калининградская обл.
900;5710000;5809999;100000;ООО "Т2 Мобайл";Калужская обл.
900;5810000;5909999;100000;ООО "Т2 Мобайл";Владимирская обл.
900;5910000;6009999;100000;ООО "Т2 Мобайл";Липецкая обл.
900;6010000;6109999;100000;ООО "Т2 Мобайл";Рязанская обл.
900;6110000;6199999;90000;ООО "СИМ ТЕЛЕКОМ";г. Москва и Московская область
